ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,190.065914,0.000000,1.267106,0.000000,0.001517
2,95.246197,0.000000,1.269949,0.000000,0.002817
3,63.634352,0.000000,1.272687,0.000000,0.004127
4,47.829318,0.000000,1.275448,0.000000,0.005315
5,38.341929,0.000000,1.278064,0.000000,0.009934
6,32.015869,0.000000,1.280635,0.000000,0.012797
7,27.498558,0.000000,1.283266,0.000000,0.013980
8,24.110489,0.000000,1.285893,0.000000,0.015276
9,21.477192,0.000000,1.288632,0.000000,0.016468
10,19.369507,0.000000,1.291300,0.000000,0.018750
11,17.643334,0.000000,1.293844,0.000000,0.020160
12,16.205342,0.000000,1.296427,0.000000,0.021658
13,14.989378,0.000000,1.299079,0.000000,0.029235
14,13.946833,0.000000,1.301704,0.000000,0.030669
15,13.042026,0.000000,1.304203,0.000000,0.031914
16,12.250315,0.000000,1.306700,0.000000,0.033295
17,11.551698,0.000000,1.309192,0.000000,0.034461
18,10.930927,0.000000,1.311711,0.000000,0.035944
19,10.375275,0.000000,1.314202,0.000000,0.037335
20,9.875144,0.000000,1.316686,0.000000,0.038716
21,9.422903,0.000000,1.319206,0.000000,0.043438
22,9.011489,0.000000,1.321685,0.000000,0.048024
23,8.635836,0.000000,1.324161,0.000000,0.049776
24,8.291713,0.000000,1.326674,0.000000,0.051246
25,7.975053,0.000000,1.329176,0.000000,0.052483
26,7.683046,0.000000,1.331728,0.000000,0.054181
27,7.412237,0.000000,1.334203,0.000000,0.055392
28,7.160685,0.000000,1.336661,0.000000,0.056969
29,6.926488,0.000000,1.339121,0.000000,0.059043
30,6.708034,0.000000,1.341607,0.000000,0.060241
31,6.503708,0.000000,1.344100,0.000000,0.061635
32,6.311905,0.000000,1.346540,0.000000,0.064600
33,6.131677,0.000000,1.348969,0.000000,0.066338
34,5.962065,0.000000,1.351401,0.000000,0.067808
35,5.802309,0.000000,1.353872,0.000000,0.069394
36,5.651297,0.000000,1.356311,0.000000,0.074312
37,5.508328,0.000000,1.358721,0.000000,0.075675
38,5.373043,0.000000,1.361171,0.000000,0.077430
39,5.244723,0.000000,1.363628,0.000000,0.078876
40,5.122614,0.000000,1.366030,0.000000,0.082407
41,5.006422,0.000000,1.368422,0.000000,0.083701
42,4.896588,0.000000,1.371045,0.000000,0.085038
43,4.791094,0.000000,1.373447,0.000000,0.086218
44,4.690314,0.000000,1.375826,0.000000,0.087697
45,4.594002,0.000000,1.378201,0.000000,0.089990
46,4.501986,0.000000,1.380609,0.000000,0.091215
47,4.413758,0.000000,1.382977,0.000000,0.092491
48,4.329238,0.000000,1.385356,0.000000,0.093967
49,4.248105,0.000000,1.387714,0.000000,0.098276
50,4.170221,0.000000,1.390074,0.000000,0.102528
51,4.097746,0.000000,1.393233,0.000000,0.104514
52,4.028027,0.000000,1.396383,0.000000,0.106286
53,3.960906,0.000000,1.399520,0.000000,0.107627
54,3.896193,0.000000,1.402630,0.000000,0.109094
55,3.833844,0.000000,1.405743,0.000000,0.110327
56,3.773683,0.000000,1.408842,0.000000,0.111544
57,3.715715,0.000000,1.411972,0.000000,0.117286
58,3.659661,0.000000,1.415069,0.000000,0.120806
59,3.605528,0.000000,1.418174,0.000000,0.122033
60,3.553133,0.000000,1.421253,0.000000,0.123224
61,3.502581,0.000000,1.424383,0.000000,0.124451
62,3.453576,0.000000,1.427478,0.000000,0.125826
63,3.406180,0.000000,1.430596,0.000000,0.127026
64,3.360180,0.000000,1.433677,0.000000,0.128246
65,3.315605,0.000000,1.436762,0.000000,0.129646
66,3.272405,0.000000,1.439858,0.000000,0.130857
67,3.230426,0.000000,1.442924,0.000000,0.132204
68,3.189694,0.000000,1.445995,0.000000,0.133456
69,3.150176,0.000000,1.449081,0.000000,0.134642
70,3.111741,0.000000,1.452146,0.000000,0.136314
71,3.074395,0.000000,1.455214,0.000000,0.141308
72,3.038070,0.000000,1.458274,0.000000,0.143038
73,3.002719,0.000000,1.461323,0.000000,0.144807
74,2.968318,0.000000,1.464370,0.000000,0.146474
75,2.934849,0.000000,1.467424,0.000000,0.147833
76,2.902261,0.000000,1.470479,0.000000,0.149056
77,2.870500,0.000000,1.473524,0.000000,0.151114
