ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.999919,0.000000,0.006666,0.000000,0.001925
2,0.999864,0.000000,0.013332,0.000000,0.002309
3,0.999848,0.000000,0.019997,0.000000,0.002637
4,0.999843,0.000000,0.026662,0.000000,0.002961
5,0.999860,0.000000,0.033329,0.000000,0.003282
6,0.999879,0.000000,0.039995,0.000000,0.003612
7,0.999879,0.000000,0.046661,0.000000,0.003935
8,0.999884,0.000000,0.053327,0.000000,0.004286
9,0.999863,0.000000,0.059992,0.000000,0.004615
10,0.999862,0.000000,0.066657,0.000000,0.004940
11,0.999871,0.000000,0.073324,0.000000,0.005263
12,0.999874,0.000000,0.079990,0.000000,0.005606
13,0.999868,0.000000,0.086655,0.000000,0.005932
14,0.999844,0.000000,0.093319,0.000000,0.006262
15,0.999852,0.000000,0.099985,0.000000,0.006583
16,0.999861,0.000000,0.106652,0.000000,0.006904
17,0.999867,0.000000,0.113318,0.000000,0.007469
18,0.999870,0.000000,0.119984,0.000000,0.007802
19,0.999876,0.000000,0.126651,0.000000,0.008164
20,0.999880,0.000000,0.133317,0.000000,0.008488
21,0.999883,0.000000,0.139984,0.000000,0.008810
22,0.999886,0.000000,0.146650,0.000000,0.009126
23,0.999884,0.000000,0.153315,0.000000,0.009454
24,0.999886,0.000000,0.159982,0.000000,0.009788
25,0.999888,0.000000,0.166648,0.000000,0.010111
26,0.999887,0.000000,0.173314,0.000000,0.010433
27,0.999889,0.000000,0.179980,0.000000,0.010760
28,0.999891,0.000000,0.186646,0.000000,0.011079
29,0.999891,0.000000,0.193312,0.000000,0.011400
30,0.999891,0.000000,0.199978,0.000000,0.011726
31,0.999890,0.000000,0.206644,0.000000,0.012050
32,0.999892,0.000000,0.213310,0.000000,0.012367
33,0.999894,0.000000,0.219977,0.000000,0.012687
34,0.999897,0.000000,0.226643,0.000000,0.013005
35,0.999895,0.000000,0.233309,0.000000,0.014301
36,0.999893,0.000000,0.239974,0.000000,0.014663
37,0.999894,0.000000,0.246641,0.000000,0.014992
38,0.999893,0.000000,0.253306,0.000000,0.015311
39,0.999888,0.000000,0.259971,0.000000,0.015632
40,0.999889,0.000000,0.266637,0.000000,0.015956
41,0.999889,0.000000,0.273303,0.000000,0.016270
42,0.999873,0.000000,0.279964,0.000000,0.016585
43,0.999871,0.000000,0.286630,0.000000,0.016904
44,0.999872,0.000000,0.293296,0.000000,0.017220
45,0.999875,0.000000,0.299962,0.000000,0.017550
46,0.999873,0.000000,0.306628,0.000000,0.017863
