ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.650183,0.000000,0.004335,0.000000,0.000429
2,0.647322,0.000000,0.008631,0.000000,0.000687
3,0.644537,0.000000,0.012891,0.000000,0.000926
4,0.641915,0.000000,0.017118,0.000000,0.001171
5,0.639425,0.000000,0.021314,0.000000,0.001418
6,0.637088,0.000000,0.025484,0.000000,0.001654
7,0.634436,0.000000,0.029607,0.000000,0.001897
8,0.631834,0.000000,0.033698,0.000000,0.002137
9,0.629058,0.000000,0.037743,0.000000,0.002377
10,0.626384,0.000000,0.041759,0.000000,0.002645
11,0.623800,0.000000,0.045745,0.000000,0.002879
12,0.621146,0.000000,0.049692,0.000000,0.003111
13,0.618406,0.000000,0.053595,0.000000,0.003346
14,0.615543,0.000000,0.057451,0.000000,0.003871
15,0.612908,0.000000,0.061291,0.000000,0.004124
16,0.610295,0.000000,0.065098,0.000000,0.004365
17,0.607627,0.000000,0.068864,0.000000,0.004604
18,0.604921,0.000000,0.072590,0.000000,0.004854
19,0.602249,0.000000,0.076285,0.000000,0.005129
20,0.599534,0.000000,0.079938,0.000000,0.005379
21,0.596815,0.000000,0.083554,0.000000,0.005618
22,0.594084,0.000000,0.087132,0.000000,0.005863
23,0.591265,0.000000,0.090661,0.000000,0.006113
24,0.588529,0.000000,0.094165,0.000000,0.006351
25,0.585771,0.000000,0.097629,0.000000,0.006586
26,0.582990,0.000000,0.101052,0.000000,0.006820
27,0.580222,0.000000,0.104440,0.000000,0.007298
28,0.577441,0.000000,0.107789,0.000000,0.007542
29,0.574649,0.000000,0.111099,0.000000,0.007799
30,0.571847,0.033333,0.114369,0.006667,0.008051
31,0.569043,0.064516,0.117602,0.013333,0.008296
32,0.566258,0.093750,0.120802,0.020000,0.008538
33,0.563462,0.121212,0.123962,0.026667,0.008778
34,0.560670,0.147059,0.127085,0.033333,0.009017
35,0.557851,0.171429,0.130165,0.040000,0.009254
36,0.555030,0.194444,0.133207,0.046667,0.009528
37,0.552224,0.216216,0.136215,0.053333,0.009764
38,0.549407,0.236842,0.139183,0.060000,0.010007
39,0.546575,0.256410,0.142110,0.066667,0.010253
40,0.543770,0.275000,0.145005,0.073333,0.010492
41,0.540963,0.292683,0.147863,0.080000,0.010745
42,0.538135,0.309524,0.150678,0.086667,0.010983
43,0.535316,0.325581,0.153457,0.093333,0.011231
44,0.532528,0.340909,0.156208,0.100000,0.011469
45,0.529742,0.355556,0.158923,0.106667,0.011728
46,0.526941,0.369565,0.161595,0.113333,0.011966
47,0.524152,0.382979,0.164234,0.120000,0.012317
48,0.521354,0.395833,0.166833,0.126667,0.012558
49,0.518571,0.408163,0.169400,0.133333,0.012799
50,0.515785,0.420000,0.171928,0.140000,0.013044
51,0.515061,0.411765,0.175121,0.140000,0.013283
52,0.514268,0.403846,0.178280,0.140000,0.013522
53,0.513411,0.396226,0.181405,0.140000,0.013761
54,0.512490,0.388889,0.184497,0.140000,0.014035
55,0.511514,0.381818,0.187555,0.140000,0.014277
56,0.510484,0.375000,0.190581,0.140000,0.014521
57,0.509403,0.368421,0.193573,0.140000,0.014758
58,0.508267,0.362069,0.196530,0.140000,0.014999
59,0.507093,0.355932,0.199457,0.140000,0.015245
60,0.505874,0.350000,0.202350,0.140000,0.015488
61,0.504612,0.344262,0.205209,0.140000,0.015752
62,0.503315,0.338710,0.208037,0.140000,0.016691
63,0.501981,0.333333,0.210832,0.140000,0.017278
64,0.500614,0.328125,0.213595,0.140000,0.018120
65,0.499212,0.323077,0.216325,0.140000,0.018370
66,0.497781,0.318182,0.219024,0.140000,0.018629
67,0.496320,0.313433,0.221690,0.140000,0.018871
68,0.494830,0.308824,0.224323,0.140000,0.019128
69,0.493314,0.304348,0.226924,0.140000,0.019383
70,0.491771,0.300000,0.229493,0.140000,0.019663
71,0.490206,0.309859,0.232031,0.146667,0.019954
72,0.488617,0.319444,0.234536,0.153333,0.020211
73,0.487007,0.328767,0.237010,0.160000,0.020457
74,0.485376,0.337838,0.239452,0.166667,0.020694
75,0.483724,0.346667,0.241862,0.173333,0.020939
76,0.482054,0.355263,0.244241,0.180000,0.021178
77,0.480366,0.363636,0.246588,0.186667,0.021424
78,0.478661,0.371795,0.248904,0.193333,0.021664
79,0.476940,0.379747,0.251188,0.200000,0.021901
80,0.475201,0.387500,0.253440,0.206667,0.022143
81,0.473448,0.395062,0.255662,0.213333,0.022384
82,0.471681,0.402439,0.257852,0.220000,0.022623
83,0.469902,0.409639,0.260013,0.226667,0.022866
84,0.468112,0.416667,0.262143,0.233333,0.023110
85,0.466310,0.423529,0.264242,0.240000,0.023344
86,0.464497,0.430233,0.266311,0.246667,0.023597
87,0.462673,0.436782,0.268351,0.253333,0.023836
88,0.460841,0.443182,0.270360,0.260000,0.024113
89,0.458998,0.449438,0.272339,0.266667,0.024356
90,0.457148,0.455556,0.274289,0.273333,0.024595
91,0.455290,0.461538,0.276209,0.280000,0.024833
92,0.453426,0.467391,0.278101,0.286667,0.025080
93,0.451555,0.473118,0.279964,0.293333,0.025324
94,0.449676,0.478723,0.281797,0.300000,0.025564
95,0.447795,0.484211,0.283603,0.306667,0.025803
96,0.445908,0.489583,0.285381,0.313333,0.026056
97,0.444018,0.494845,0.287131,0.320000,0.026300
98,0.442124,0.500000,0.288854,0.326667,0.026538
99,0.440226,0.505051,0.290549,0.333333,0.026778
100,0.438328,0.510000,0.292218,0.340000,0.027023
101,0.441003,0.504950,0.296942,0.340000,0.027267
102,0.443537,0.500000,0.301605,0.340000,0.027509
103,0.445934,0.495146,0.306208,0.340000,0.027902
104,0.448198,0.490385,0.310750,0.340000,0.028154
105,0.450332,0.485714,0.315232,0.340000,0.028418
106,0.452340,0.481132,0.319653,0.340000,0.028656
107,0.454224,0.476636,0.324013,0.340000,0.028897
108,0.455990,0.472222,0.328313,0.340000,0.029135
109,0.457641,0.467890,0.332553,0.340000,0.029375
110,0.459180,0.463636,0.336732,0.340000,0.029616
111,0.460610,0.459459,0.340851,0.340000,0.029859
112,0.461934,0.455357,0.344911,0.340000,0.030096
113,0.463155,0.451327,0.348910,0.340000,0.030345
114,0.464276,0.447368,0.352850,0.340000,0.030592
115,0.465301,0.443478,0.356731,0.340000,0.030826
116,0.466231,0.439655,0.360552,0.340000,0.031060
117,0.467071,0.435897,0.364315,0.340000,0.031294
118,0.467822,0.432203,0.368020,0.340000,0.031544
119,0.468488,0.428571,0.371667,0.340000,0.031891
120,0.469069,0.425000,0.375255,0.340000,0.032140
121,0.469571,0.421488,0.378787,0.340000,0.036017
122,0.469994,0.418033,0.382262,0.340000,0.036342
123,0.470342,0.414634,0.385681,0.340000,0.036588
124,0.470617,0.411290,0.389043,0.340000,0.036914
125,0.470821,0.408000,0.392351,0.340000,0.037158
126,0.470956,0.404762,0.395603,0.340000,0.037420
127,0.471025,0.401575,0.398801,0.340000,0.037658
128,0.471030,0.398438,0.401945,0.340000,0.037902
129,0.470972,0.395349,0.405036,0.340000,0.038137
130,0.470855,0.392308,0.408075,0.340000,0.038373
131,0.470681,0.389313,0.411061,0.340000,0.038608
132,0.470450,0.386364,0.413996,0.340000,0.038844
133,0.470165,0.383459,0.416880,0.340000,0.039096
134,0.469829,0.380597,0.419714,0.340000,0.039343
135,0.469442,0.377778,0.422498,0.340000,0.039999
136,0.469008,0.375000,0.425234,0.340000,0.040256
137,0.468527,0.372263,0.427921,0.340000,0.040507
138,0.468001,0.369565,0.430561,0.340000,0.040788
139,0.467432,0.366906,0.433154,0.340000,0.041045
140,0.466823,0.364286,0.435701,0.340000,0.041288
141,0.466173,0.361702,0.438203,0.340000,0.041544
142,0.465486,0.359155,0.440660,0.340000,0.041792
143,0.464762,0.356643,0.443073,0.340000,0.042036
144,0.464003,0.354167,0.445443,0.340000,0.042278
145,0.463211,0.351724,0.447771,0.340000,0.042526
146,0.462387,0.349315,0.450056,0.340000,0.042766
147,0.461532,0.346939,0.452301,0.340000,0.043011
148,0.460648,0.344595,0.454506,0.340000,0.043259
149,0.459735,0.342282,0.456670,0.340000,0.043498
150,0.458797,0.346667,0.458797,0.346667,0.044103
151,0.459034,0.344371,0.457759,0.346667,0.044355
152,0.459210,0.342105,0.456702,0.346667,0.044593
153,0.459330,0.339869,0.455626,0.346667,0.044836
154,0.459395,0.337662,0.454528,0.346667,0.045076
