ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.658229,1.000000,0.004388,0.006667,0.001375
2,0.655612,1.000000,0.008741,0.013333,0.006274
3,0.653198,1.000000,0.013064,0.020000,0.007473
4,0.650826,1.000000,0.017355,0.026667,0.008784
5,0.648631,1.000000,0.021621,0.033333,0.011431
6,0.646482,1.000000,0.025859,0.040000,0.014007
7,0.644103,1.000000,0.030058,0.046667,0.014557
8,0.641761,1.000000,0.034227,0.053333,0.015072
9,0.639243,1.000000,0.038355,0.060000,0.015629
10,0.636829,1.000000,0.042455,0.066667,0.016853
11,0.634484,1.000000,0.046529,0.073333,0.017397
12,0.632064,1.000000,0.050565,0.080000,0.017957
13,0.629571,1.000000,0.054563,0.086667,0.019045
14,0.626992,1.000000,0.058519,0.093333,0.020866
15,0.624581,1.000000,0.062458,0.100000,0.022643
16,0.622163,1.000000,0.066364,0.106667,0.023252
17,0.619696,1.000000,0.070232,0.113333,0.024949
18,0.617185,1.000000,0.074062,0.120000,0.026502
19,0.614692,1.000000,0.077861,0.126667,0.028935
20,0.612162,1.000000,0.081622,0.133333,0.029534
21,0.609615,1.000000,0.085346,0.140000,0.030033
22,0.607052,1.000000,0.089034,0.146667,0.030530
23,0.604436,1.000000,0.092680,0.153333,0.031028
24,0.601840,1.000000,0.096294,0.160000,0.031597
25,0.599230,1.000000,0.099872,0.166667,0.032117
26,0.596590,1.000000,0.103409,0.173333,0.032624
27,0.593957,1.000000,0.106912,0.180000,0.033228
28,0.591315,1.000000,0.110379,0.186667,0.033932
29,0.588658,1.000000,0.113807,0.193333,0.034458
30,0.585978,1.000000,0.117196,0.200000,0.035240
31,0.583290,1.000000,0.120547,0.206667,0.035810
32,0.580613,1.000000,0.123864,0.213333,0.036315
33,0.577936,1.000000,0.127146,0.220000,0.036928
34,0.575254,1.000000,0.130391,0.226667,0.037444
35,0.572533,1.000000,0.133591,0.233333,0.037948
36,0.569805,1.000000,0.136753,0.240000,0.038568
37,0.567089,1.000000,0.139882,0.246667,0.040815
38,0.564351,1.000000,0.142969,0.253333,0.041441
39,0.561590,1.000000,0.146013,0.260000,0.041983
40,0.558854,1.000000,0.149028,0.266667,0.042501
41,0.556112,1.000000,0.152004,0.273333,0.043007
42,0.553317,1.000000,0.154929,0.280000,0.043507
43,0.550552,1.000000,0.157825,0.286667,0.044028
44,0.547807,1.000000,0.160690,0.293333,0.044671
45,0.545065,1.000000,0.163520,0.300000,0.045405
46,0.542298,1.000000,0.166305,0.306667,0.045896
47,0.539549,1.000000,0.169059,0.313333,0.046425
48,0.536780,1.000000,0.171770,0.320000,0.046906
49,0.534027,1.000000,0.174449,0.326667,0.047496
50,0.531264,1.000000,0.177088,0.333333,0.047977
51,0.536394,0.980392,0.182374,0.333333,0.048550
52,0.541203,0.961538,0.187617,0.333333,0.049027
53,0.545712,0.943396,0.192818,0.333333,0.049499
54,0.549930,0.925926,0.197975,0.333333,0.049998
55,0.553885,0.909091,0.203091,0.333333,0.050456
56,0.557584,0.892857,0.208165,0.333333,0.050919
57,0.561046,0.877193,0.213197,0.333333,0.051372
58,0.564267,0.862069,0.218183,0.333333,0.051837
59,0.567285,0.847458,0.223132,0.333333,0.052323
60,0.570093,0.833333,0.228037,0.333333,0.052812
61,0.572699,0.819672,0.232898,0.333333,0.053280
62,0.575131,0.806452,0.237721,0.333333,0.053757
63,0.577386,0.793651,0.242502,0.333333,0.054224
64,0.579476,0.781250,0.247243,0.333333,0.054678
65,0.581405,0.769231,0.251942,0.333333,0.055157
66,0.583186,0.757576,0.256602,0.333333,0.055740
67,0.584820,0.746269,0.261220,0.333333,0.056216
68,0.586317,0.735294,0.265797,0.333333,0.056749
69,0.587683,0.724638,0.270334,0.333333,0.058556
70,0.588921,0.714286,0.274830,0.333333,0.059065
71,0.590044,0.704225,0.279287,0.333333,0.059709
72,0.591051,0.694444,0.283705,0.333333,0.060199
73,0.591950,0.684932,0.288082,0.333333,0.060792
74,0.592745,0.675676,0.292421,0.333333,0.061341
75,0.593440,0.666667,0.296720,0.333333,0.061816
76,0.594041,0.657895,0.300981,0.333333,0.062326
77,0.594550,0.649351,0.305202,0.333333,0.062787
78,0.594973,0.641026,0.309386,0.333333,0.066397
79,0.595311,0.632911,0.313531,0.333333,0.076468
80,0.595567,0.625000,0.317636,0.333333,0.084988
81,0.595747,0.617284,0.321703,0.333333,0.087669
82,0.595853,0.609756,0.325733,0.333333,0.089007
83,0.595890,0.602410,0.329726,0.333333,0.089499
84,0.595862,0.595238,0.333683,0.333333,0.089982
85,0.595769,0.588235,0.337602,0.333333,0.090460
86,0.595615,0.581395,0.341486,0.333333,0.090915
87,0.595402,0.574713,0.345333,0.333333,0.091425
88,0.595131,0.568182,0.349144,0.333333,0.091907
89,0.594805,0.561798,0.352918,0.333333,0.092427
90,0.594426,0.555556,0.356656,0.333333,0.092948
91,0.593998,0.549451,0.360359,0.333333,0.093421
92,0.593522,0.543478,0.364027,0.333333,0.094585
93,0.592999,0.537634,0.367659,0.333333,0.095149
94,0.592428,0.531915,0.371255,0.333333,0.096770
95,0.591818,0.526316,0.374818,0.333333,0.098333
96,0.591167,0.520833,0.378347,0.333333,0.098933
97,0.590476,0.515464,0.381841,0.333333,0.099739
98,0.589748,0.510204,0.385302,0.333333,0.100313
99,0.588980,0.505051,0.388727,0.333333,0.100820
100,0.588179,0.500000,0.392120,0.333333,0.101341
101,0.589334,0.495050,0.396818,0.333333,0.101849
102,0.590385,0.490196,0.401462,0.333333,0.102556
103,0.591340,0.485437,0.406054,0.333333,0.103055
104,0.592199,0.480769,0.410592,0.333333,0.103531
105,0.592966,0.476190,0.415077,0.333333,0.104083
106,0.593644,0.471698,0.419508,0.333333,0.104567
107,0.594232,0.467290,0.423885,0.333333,0.105078
108,0.594737,0.462963,0.428211,0.333333,0.105685
109,0.595161,0.458716,0.432484,0.333333,0.106586
110,0.595505,0.454545,0.436704,0.333333,0.107095
111,0.595772,0.450450,0.440871,0.333333,0.107617
