ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.391398,1.000000,0.002609,0.006667,0.001524
2,0.389288,1.000000,0.005191,0.013333,0.002375
3,0.387232,1.000000,0.007745,0.020000,0.003207
4,0.385199,1.000000,0.010272,0.026667,0.003998
5,0.383197,1.000000,0.012773,0.033333,0.004750
6,0.381203,1.000000,0.015248,0.040000,0.005744
7,0.379198,1.000000,0.017696,0.046667,0.006501
8,0.377204,1.000000,0.020118,0.053333,0.007916
9,0.375216,1.000000,0.022513,0.060000,0.008622
10,0.373242,1.000000,0.024883,0.066667,0.009159
11,0.371276,1.000000,0.027227,0.073333,0.011060
12,0.369318,1.000000,0.029545,0.080000,0.013975
13,0.367376,1.000000,0.031839,0.086667,0.015043
14,0.365457,1.000000,0.034109,0.093333,0.016268
15,0.363528,1.000000,0.036353,0.100000,0.017014
16,0.361600,1.000000,0.038571,0.106667,0.017791
17,0.359687,1.000000,0.040764,0.113333,0.018294
18,0.357787,1.000000,0.042934,0.120000,0.019119
19,0.355887,1.000000,0.045079,0.126667,0.019673
20,0.354003,1.000000,0.047200,0.133333,0.020257
21,0.352127,1.000000,0.049298,0.140000,0.020753
22,0.350263,1.000000,0.051372,0.146667,0.021230
23,0.348432,1.000000,0.053426,0.153333,0.021707
24,0.346587,1.000000,0.055454,0.160000,0.022257
25,0.344754,1.000000,0.057459,0.166667,0.022765
26,0.342941,1.000000,0.059443,0.173333,0.023285
27,0.341132,1.000000,0.061404,0.180000,0.023866
28,0.339336,1.000000,0.063343,0.186667,0.024644
29,0.337554,1.000000,0.065260,0.193333,0.027423
30,0.335786,1.000000,0.067157,0.200000,0.029899
31,0.334030,1.000000,0.069033,0.206667,0.030383
32,0.332274,1.000000,0.070885,0.213333,0.030944
33,0.330531,1.000000,0.072717,0.220000,0.032171
34,0.328795,1.000000,0.074527,0.226667,0.032906
35,0.327087,1.000000,0.076320,0.233333,0.033412
36,0.325394,1.000000,0.078095,0.240000,0.033910
37,0.323701,1.000000,0.079846,0.246667,0.034404
38,0.322027,1.000000,0.081580,0.253333,0.034891
39,0.320377,1.000000,0.083298,0.260000,0.035660
40,0.318719,1.000000,0.084992,0.266667,0.036159
41,0.317075,1.000000,0.086667,0.273333,0.041874
42,0.315468,1.000000,0.088331,0.280000,0.042346
43,0.313861,1.000000,0.089973,0.286667,0.042921
44,0.312241,1.000000,0.091591,0.293333,0.043563
45,0.310627,1.000000,0.093188,0.300000,0.043977
46,0.309046,1.000000,0.094774,0.306667,0.044382
47,0.307462,1.000000,0.096338,0.313333,0.044899
48,0.305906,1.000000,0.097890,0.320000,0.045296
49,0.304346,1.000000,0.099420,0.326667,0.045694
