ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,347.165638,0.000000,2.314438,0.000000,0.003333
2,173.832235,0.000000,2.317763,0.000000,0.005979
3,116.054461,0.000000,2.321089,0.000000,0.009304
4,87.165559,0.000000,2.324415,0.000000,0.014484
5,69.832344,0.000000,2.327745,0.000000,0.015886
6,58.276917,0.000000,2.331077,0.000000,0.017218
7,50.022953,0.000000,2.334404,0.000000,0.018437
8,43.832506,0.000000,2.337734,0.000000,0.019611
9,39.017585,0.000000,2.341055,0.000000,0.020862
10,35.165729,0.000000,2.344382,0.000000,0.022159
11,32.014268,0.000000,2.347713,0.000000,0.023539
12,29.388024,0.000000,2.351042,0.000000,0.028261
13,27.165772,0.000000,2.354367,0.000000,0.029504
14,25.260927,0.000000,2.357687,0.000000,0.031032
15,23.610184,0.000000,2.361018,0.000000,0.032210
16,22.165790,0.000000,2.364351,0.000000,0.033468
17,20.891315,0.000000,2.367682,0.000000,0.035063
18,19.758434,0.000000,2.371012,0.000000,0.039005
19,18.744821,0.000000,2.374344,0.000000,0.040261
20,17.832562,0.000000,2.377675,0.000000,0.041482
21,17.007181,0.000000,2.381005,0.000000,0.042804
22,16.256837,0.000000,2.384336,0.000000,0.044047
23,15.571720,0.000000,2.387664,0.000000,0.045693
24,14.943708,0.000000,2.390993,0.000000,0.047011
25,14.365938,0.000000,2.394323,0.000000,0.048198
26,13.832595,0.000000,2.397650,0.000000,0.049385
27,13.338774,0.000000,2.400979,0.000000,0.050566
28,12.880228,0.000000,2.404309,0.000000,0.051730
29,12.453303,0.000000,2.407639,0.000000,0.053055
30,12.054830,0.000000,2.410966,0.000000,0.054534
31,11.682062,0.000000,2.414293,0.000000,0.056699
32,11.332607,0.000000,2.417623,0.000000,0.063045
33,11.004339,0.000000,2.420955,0.000000,0.064596
34,10.695383,0.000000,2.424287,0.000000,0.065878
35,10.404058,0.000000,2.427613,0.000000,0.067519
36,10.128918,0.000000,2.430940,0.000000,0.068715
37,9.868664,0.000000,2.434270,0.000000,0.070070
38,9.622094,0.000000,2.437597,0.000000,0.071467
39,9.388150,0.000000,2.440919,0.000000,0.072668
40,9.165932,0.000000,2.444248,0.000000,0.073833
41,8.954552,0.000000,2.447578,0.000000,0.075492
42,8.753161,0.000000,2.450885,0.000000,0.076808
43,8.561196,0.000000,2.454210,0.000000,0.078076
44,8.377976,0.000000,2.457540,0.000000,0.079340
45,8.202904,0.000000,2.460871,0.000000,0.080593
46,8.035422,0.000000,2.464196,0.000000,0.081965
47,7.875087,0.000000,2.467527,0.000000,0.083226
48,7.721416,0.000000,2.470853,0.000000,0.084447
49,7.574033,0.000000,2.474184,0.000000,0.087205
50,7.432536,0.000000,2.477512,0.000000,0.088746
51,7.296604,0.000000,2.480845,0.000000,0.090484
52,7.165898,0.000000,2.484178,0.000000,0.091706
53,7.040126,0.000000,2.487511,0.000000,0.092924
54,6.919004,0.000000,2.490841,0.000000,0.094451
55,6.802293,0.000000,2.494174,0.000000,0.095678
56,6.689749,0.000000,2.497506,0.000000,0.096898
57,6.581156,0.000000,2.500839,0.000000,0.100358
58,6.476293,0.000000,2.504167,0.000000,0.101929
59,6.374999,0.000000,2.507500,0.000000,0.103251
60,6.277076,0.000000,2.510831,0.000000,0.104485
61,6.182351,0.000000,2.514156,0.000000,0.105720
62,6.090698,0.000000,2.517488,0.000000,0.106905
63,6.001950,0.000000,2.520819,0.000000,0.108120
64,5.915980,0.000000,2.524152,0.000000,0.109314
65,5.832654,0.000000,2.527483,0.000000,0.110700
66,5.751855,0.000000,2.530816,0.000000,0.112167
67,5.673467,0.000000,2.534148,0.000000,0.113427
68,5.597383,0.000000,2.537480,0.000000,0.114705
69,5.523504,0.000000,2.540812,0.000000,0.117270
70,5.451735,0.000000,2.544143,0.000000,0.118648
71,5.381991,0.000000,2.547476,0.000000,0.120125
72,5.314183,0.000000,2.550808,0.000000,0.125163
73,5.248233,0.000000,2.554140,0.000000,0.127325
74,5.184067,0.000000,2.557473,0.000000,0.128634
75,5.121611,0.000000,2.560805,0.000000,0.129851
76,5.060799,0.000000,2.564138,0.000000,0.131795
77,5.001567,0.000000,2.567471,0.000000,0.132994
78,4.943854,0.000000,2.570804,0.000000,0.134136
79,4.887601,0.000000,2.574137,0.000000,0.135751
80,4.832751,0.000000,2.577467,0.000000,0.136984
81,4.779255,0.000000,2.580797,0.000000,0.138486
82,4.727062,0.000000,2.584127,0.000000,0.139708
83,4.676131,0.000000,2.587459,0.000000,0.140892
84,4.626414,0.000000,2.590792,0.000000,0.142508
85,4.577866,0.000000,2.594124,0.000000,0.143727
86,4.530448,0.000000,2.597457,0.000000,0.145095
87,4.484120,0.000000,2.600790,0.000000,0.146463
88,4.438844,0.000000,2.604122,0.000000,0.148267
89,4.394585,0.000000,2.607454,0.000000,0.149502
90,4.351308,0.000000,2.610785,0.000000,0.150887
