ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.323255,0.000000,0.080814,0.000000,0.000345
2,0.171840,0.500000,0.085920,0.250000,0.000541
3,0.120259,0.666667,0.090194,0.500000,0.000709
4,0.178122,0.500000,0.178122,0.500000,0.000877
5,0.200480,0.400000,0.169787,0.500000,0.001009
6,0.172585,0.500000,0.172957,0.500000,0.001233
7,0.151732,0.571429,0.175337,0.500000,0.001395
8,0.172259,0.500000,0.166396,0.500000,0.001545
9,0.181421,0.444444,0.157598,0.500000,0.001694
10,0.168367,0.500000,0.162040,0.500000,0.001848
11,0.156638,0.545455,0.165223,0.500000,0.002021
12,0.166860,0.500000,0.156062,0.500000,0.002160
13,0.171096,0.461538,0.147865,0.500000,0.002285
14,0.164004,0.500000,0.153097,0.500000,0.002434
15,0.156668,0.533333,0.156750,0.500000,0.002583
16,0.162264,0.500000,0.148475,0.500000,0.002694
17,0.164183,0.470588,0.141716,0.500000,0.002803
18,0.160198,0.500000,0.146876,0.500000,0.002913
19,0.155366,0.526316,0.150484,0.500000,0.003081
20,0.158564,0.500000,0.143763,0.500000,0.003192
21,0.159324,0.476190,0.138674,0.500000,0.003307
22,0.157088,0.500000,0.143096,0.500000,0.003414
23,0.153781,0.521739,0.146253,0.500000,0.003533
24,0.155667,0.500000,0.141182,0.500000,0.003646
25,0.155840,0.480000,0.137548,0.500000,0.003757
26,0.154614,0.500000,0.141002,0.500000,0.003864
27,0.152264,0.518519,0.143539,0.500000,0.003977
28,0.153411,0.500000,0.139877,0.500000,0.004088
29,0.153289,0.482759,0.137346,0.500000,0.004199
30,0.152652,0.466667,0.139900,0.250000,0.004311
31,0.150918,0.483871,0.141833,0.250000,0.004421
32,0.151640,0.468750,0.139247,0.250000,0.004530
33,0.151375,0.454545,0.137498,0.250000,0.004642
34,0.151084,0.441176,0.139329,0.250000,0.004753
35,0.149756,0.457143,0.140754,0.250000,0.004865
36,0.150230,0.444444,0.138946,0.250000,0.005008
37,0.149901,0.432432,0.137739,0.250000,0.005118
38,0.149815,0.421053,0.139027,0.250000,0.005223
39,0.148762,0.435897,0.140058,0.250000,0.005329
40,0.149087,0.425000,0.138798,0.250000,0.005435
41,0.148736,0.414634,0.137963,0.250000,0.005541
42,0.148772,0.404762,0.138858,0.250000,0.005648
43,0.147909,0.418605,0.139596,0.250000,0.005767
44,0.148144,0.409091,0.138718,0.250000,0.005879
45,0.147794,0.400000,0.138136,0.250000,0.005989
46,0.147900,0.391304,0.138752,0.250000,0.006100
47,0.147174,0.404255,0.139279,0.250000,0.006211
48,0.147354,0.395833,0.138665,0.250000,0.006319
49,0.147016,0.387755,0.138258,0.250000,0.006428
50,0.147163,0.380000,0.138677,0.250000,0.006540
51,0.146537,0.392157,0.139053,0.250000,0.006650
52,0.146682,0.384615,0.138621,0.250000,0.006759
53,0.146360,0.377358,0.138335,0.250000,0.006868
54,0.146530,0.370370,0.138617,0.250000,0.007015
55,0.145981,0.381818,0.138885,0.250000,0.007124
56,0.146104,0.375000,0.138580,0.250000,0.007232
