ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.268453,0.000000,0.067113,0.000000,0.000320
2,0.153238,0.500000,0.076619,0.250000,0.000528
3,0.113601,0.666667,0.085200,0.500000,0.000980
4,0.159928,0.500000,0.159928,0.500000,0.001210
5,0.174954,0.400000,0.151580,0.500000,0.001402
6,0.155123,0.500000,0.156065,0.500000,0.001589
7,0.139746,0.571429,0.159355,0.500000,0.001781
8,0.155501,0.500000,0.151074,0.500000,0.001968
9,0.161073,0.444444,0.143723,0.500000,0.002150
10,0.152529,0.500000,0.148639,0.500000,0.002336
11,0.144235,0.545455,0.152091,0.500000,0.002520
12,0.151979,0.500000,0.144936,0.500000,0.002705
13,0.154307,0.461538,0.139082,0.500000,0.002903
14,0.150010,0.500000,0.143710,0.500000,0.003104
15,0.144949,0.533333,0.146912,0.500000,0.003288
16,0.149292,0.500000,0.141231,0.500000,0.003484
17,0.150206,0.470588,0.136877,0.500000,0.003692
18,0.147955,0.500000,0.140766,0.500000,0.003880
19,0.144638,0.526316,0.143472,0.500000,0.004268
20,0.147275,0.500000,0.139205,0.500000,0.004558
21,0.147516,0.476190,0.136085,0.500000,0.004756
22,0.146350,0.500000,0.139124,0.500000,0.004940
23,0.144052,0.521739,0.141270,0.500000,0.005130
24,0.145757,0.500000,0.138167,0.500000,0.005314
25,0.145668,0.480000,0.135967,0.500000,0.005504
26,0.145102,0.461538,0.138240,0.250000,0.005687
27,0.143433,0.481481,0.139875,0.250000,0.005878
28,0.144600,0.464286,0.137657,0.250000,0.006055
29,0.144350,0.448276,0.136113,0.250000,0.006242
30,0.144125,0.433333,0.137771,0.250000,0.006424
31,0.142859,0.451613,0.138984,0.250000,0.006603
32,0.143701,0.437500,0.137412,0.250000,0.006795
33,0.143378,0.424242,0.136328,0.250000,0.007002
34,0.143347,0.411765,0.137519,0.250000,0.007184
35,0.142350,0.428571,0.138405,0.250000,0.007371
36,0.142990,0.416667,0.137296,0.250000,0.007603
37,0.142638,0.405405,0.136531,0.250000,0.007809
38,0.142719,0.394737,0.137378,0.250000,0.007994
39,0.141906,0.410256,0.138020,0.250000,0.008181
40,0.142414,0.400000,0.137238,0.250000,0.008367
41,0.142058,0.390244,0.136696,0.250000,0.008550
42,0.142202,0.380952,0.137294,0.250000,0.008738
43,0.141520,0.395349,0.137756,0.250000,0.008928
