ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.338690,0.000000,0.084673,0.000000,0.001600
2,0.176559,0.500000,0.088279,0.250000,0.004039
3,0.241005,0.333333,0.180754,0.250000,0.005140
4,0.185277,0.500000,0.185277,0.500000,0.006887
5,0.209940,0.400000,0.177753,0.500000,0.007789
6,0.178843,0.500000,0.179986,0.500000,0.008436
7,0.201158,0.428571,0.171272,0.500000,0.009236
8,0.179669,0.500000,0.174060,0.500000,0.009781
9,0.190317,0.444444,0.165787,0.500000,0.011292
10,0.174942,0.500000,0.169090,0.500000,0.011861
11,0.185977,0.454545,0.159410,0.500000,0.014217
12,0.174205,0.500000,0.163279,0.500000,0.022336
13,0.179494,0.461538,0.155144,0.500000,0.022774
14,0.170487,0.500000,0.159348,0.500000,0.023062
15,0.176363,0.466667,0.149924,0.500000,0.023345
16,0.169261,0.500000,0.154429,0.500000,0.024391
17,0.171931,0.470588,0.147351,0.500000,0.024728
18,0.166345,0.500000,0.151848,0.500000,0.025005
19,0.169505,0.473684,0.143789,0.500000,0.025340
20,0.165048,0.500000,0.148194,0.500000,0.027984
21,0.166351,0.476190,0.142637,0.500000,0.028270
22,0.162783,0.500000,0.146757,0.500000,0.028524
23,0.164465,0.478261,0.140523,0.500000,0.028783
24,0.161587,0.500000,0.144280,0.500000,0.029042
25,0.162168,0.480000,0.140207,0.500000,0.029409
26,0.159829,0.500000,0.143580,0.500000,0.029668
27,0.160700,0.481481,0.139053,0.500000,0.029976
28,0.158786,0.500000,0.141983,0.500000,0.030228
29,0.158987,0.482759,0.139107,0.500000,0.030479
30,0.157409,0.500000,0.141680,0.500000,0.030727
31,0.157835,0.483871,0.138499,0.500000,0.030977
32,0.156521,0.500000,0.140667,0.500000,0.031227
33,0.156525,0.484848,0.138669,0.500000,0.031477
34,0.155426,0.500000,0.140552,0.500000,0.031728
35,0.155608,0.485714,0.138349,0.500000,0.031991
36,0.154675,0.500000,0.139907,0.500000,0.032348
