ITERATION,TNE ( Total Network Error ),TNS ( Total Network Success ),MNE ( Mobile Network Error ),MNS ( Mobile Network Success ),Time Elapsed (s)
1,0.379953,0.000000,0.094988,0.000000,0.001186
2,0.193531,0.500000,0.096765,0.250000,0.002073
3,0.262281,0.333333,0.196711,0.250000,0.003292
4,0.199917,0.500000,0.199917,0.500000,0.003850
5,0.228421,0.400000,0.190538,0.500000,0.004365
6,0.192879,0.500000,0.192554,0.500000,0.004707
7,0.216517,0.428571,0.182195,0.500000,0.005017
8,0.192777,0.500000,0.185638,0.500000,0.005335
9,0.204056,0.444444,0.173600,0.500000,0.005706
10,0.186839,0.500000,0.177779,0.500000,0.006023
11,0.197691,0.454545,0.164745,0.500000,0.006353
12,0.185451,0.500000,0.170798,0.500000,0.006684
13,0.189965,0.461538,0.158260,0.500000,0.007004
14,0.180523,0.500000,0.164733,0.500000,0.007330
15,0.185540,0.466667,0.152126,0.500000,0.007661
16,0.178951,0.500000,0.159451,0.500000,0.008020
17,0.180421,0.470588,0.149405,0.500000,0.009459
18,0.175118,0.500000,0.156200,0.500000,0.010080
19,0.177372,0.473684,0.146742,0.500000,0.010465
20,0.173746,0.500000,0.152928,0.500000,0.010800
21,0.173922,0.476190,0.146300,0.500000,0.011110
22,0.170838,0.500000,0.151577,0.500000,0.011425
23,0.171827,0.478261,0.145487,0.500000,0.011736
24,0.169741,0.500000,0.149713,0.500000,0.012051
25,0.169409,0.480000,0.145714,0.500000,0.012754
26,0.167510,0.500000,0.149210,0.500000,0.013087
27,0.167933,0.481481,0.145541,0.500000,0.013402
28,0.166659,0.464286,0.148169,0.250000,0.013712
29,0.166155,0.448276,0.145819,0.250000,0.014029
30,0.164906,0.433333,0.147979,0.000000,0.014358
31,0.165080,0.419355,0.145820,0.000000,0.014688
32,0.164251,0.406250,0.147391,0.000000,0.015013
33,0.163713,0.393939,0.146010,0.000000,0.015360
34,0.162836,0.382353,0.147306,0.000000,0.015687
35,0.162904,0.371429,0.146043,0.000000,0.016010
36,0.162330,0.361111,0.146964,0.000000,0.016343
37,0.161814,0.351351,0.146144,0.000000,0.016704
38,0.161159,0.342105,0.146910,0.000000,0.017030
39,0.161188,0.333333,0.146173,0.000000,0.017386
40,0.160767,0.325000,0.146705,0.000000,0.017713
41,0.160291,0.317073,0.146210,0.000000,0.018039
42,0.159778,0.309524,0.146660,0.000000,0.018377
43,0.159797,0.302326,0.146229,0.000000,0.018738
44,0.159473,0.295455,0.146532,0.000000,0.019069
45,0.159041,0.288889,0.146225,0.000000,0.019410
46,0.158623,0.282609,0.146487,0.000000,0.019739
47,0.158642,0.276596,0.146236,0.000000,0.020061
48,0.158384,0.270833,0.146403,0.000000,0.020466
49,0.157993,0.265306,0.146206,0.000000,0.020795
50,0.157641,0.260000,0.146358,0.000000,0.021125
51,0.157667,0.254902,0.146212,0.000000,0.021455
52,0.157454,0.250000,0.146299,0.000000,0.021780
53,0.157101,0.245283,0.146166,0.000000,0.022199
54,0.156798,0.240741,0.146252,0.000000,0.022575
55,0.156831,0.236364,0.146168,0.000000,0.022948
56,0.156651,0.232143,0.146208,0.000000,0.023324
57,0.156330,0.228070,0.146114,0.000000,0.023666
58,0.156064,0.224138,0.146162,0.000000,0.027735
59,0.156105,0.220339,0.146114,0.000000,0.028242
60,0.155949,0.216667,0.146126,0.000000,0.028611
61,0.155656,0.213115,0.146053,0.000000,0.029108
62,0.155420,0.209677,0.146079,0.000000,0.030891
63,0.155466,0.206349,0.146052,0.000000,0.031275
64,0.155331,0.203125,0.146049,0.000000,0.034736
65,0.155061,0.200000,0.145989,0.000000,0.035050
66,0.154849,0.196970,0.146001,0.000000,0.035322
67,0.154900,0.194030,0.145987,0.000000,0.035599
68,0.154780,0.191176,0.145974,0.000000,0.035997
69,0.154531,0.188406,0.145922,0.000000,0.036332
70,0.154339,0.185714,0.145926,0.000000,0.036595
71,0.154394,0.183099,0.145920,0.000000,0.036850
72,0.154287,0.180556,0.145901,0.000000,0.037111
73,0.154056,0.178082,0.145854,0.000000,0.037394
74,0.153881,0.175676,0.145853,0.000000,0.037645
75,0.153939,0.173333,0.145852,0.000000,0.037898
